Protocol Name, Long Protocol Name, Attribute Name, Full Attribute Name, Attribute Type, Attribute Description
0zz0, 0zz0.com, end, endQ_PROTO_0ZZ0, Void, "Indicates the end of a top level event."
0zz0, 0zz0.com, login, loginQ_PROTO_0ZZ0, bytes, "User's login string."
0zz0, 0zz0.com, password, passwordQ_PROTO_0ZZ0, bytes, "User's password string."
0zz0, 0zz0.com, action, actionQ_PROTO_0ZZ0, bytes, "Indicates the action executed by the user."
0zz0, 0zz0.com, filename, filenameQ_PROTO_0ZZ0, bytes, "Name of the transferred file."
0zz0, 0zz0.com, filesize, filesizeQ_PROTO_0ZZ0, uint32, "Size (byte) of the transferred file."
0zz0, 0zz0.com, upload_description, upload_descriptionQ_PROTO_0ZZ0, bytes, "Description of the uploaded file."
0zz0, 0zz0.com, sidc, sidcQ_PROTO_0ZZ0, bytes, "Session identifier used to find information about file which has been uploaded."
0zz0, 0zz0.com, sid, sidQ_PROTO_0ZZ0, bytes, "Session identifier used to find user information."
0zz0, 0zz0.com, email_address, email_addressQ_PROTO_0ZZ0, bytes, "User's email address."
0zz0, 0zz0.com, email_invited, email_invitedQ_PROTO_0ZZ0, bytes, "Email to whom the invitation has been sent."
0zz0, 0zz0.com, name, nameQ_PROTO_0ZZ0, bytes, "Name the user."
0zz0, 0zz0.com, name_invited, name_invitedQ_PROTO_0ZZ0, bytes, "Name of the user to whom the invitation has been sent."
0zz0, 0zz0.com, download_url, download_urlQ_PROTO_0ZZ0, bytes, "Link of the downloaded file."
adc, Advanced Direct Connect, file_chunk_data_offset, file_chunk_data_offsetQ_PROTO_ADC, uint32, "Offset of the transferred data."
adc, Advanced Direct Connect, file_chunk_len, file_chunk_lenQ_PROTO_ADC, uint32, "Size of the transferred piece."
adc, Advanced Direct Connect, file_hash, file_hashQ_PROTO_ADC, bytes, "Hash of the transferred file."
adc, Advanced Direct Connect, filesize, filesizeQ_PROTO_ADC, uint32, "Size (byte) of the transferred file."
adc, Advanced Direct Connect, filename, filenameQ_PROTO_ADC, bytes, "Name of the transferred file."
adc, Advanced Direct Connect, client_version, client_versionQ_PROTO_ADC, bytes, "Name and version of the client used by the peer."
adc, Advanced Direct Connect, peer_hash, peer_hashQ_PROTO_ADC, bytes, "Hash of the user ID, used to communicate with the hub and the other clients."
adc, Advanced Direct Connect, peer_id, peer_idQ_PROTO_ADC, bytes, "User id assigned by the hub to the client and notified through a SID command."
adc, Advanced Direct Connect, query, queryQ_PROTO_ADC, bytes, "Query sent to find a file."
adc, Advanced Direct Connect, command_code, command_codeQ_PROTO_ADC, bytes, "Message action, as extracted from the three letters following the message type."
adc, Advanced Direct Connect, command_type, command_typeQ_PROTO_ADC, bytes, "Command type extracted from the first character of the message."
adobe_update, Adobe Update Manager, component_list_name, component_list_nameQ_PROTO_ADOBE_UPDATE, bytes, "Name of a piece of Adobe software we have a new version for."
adobe_update, Adobe Update Manager, component_list_desc, component_list_descQ_PROTO_ADOBE_UPDATE, bytes, "Short component update description, including version number."
adobe_update, Adobe Update Manager, component_list_version, component_list_versionQ_PROTO_ADOBE_UPDATE, bytes, "Last component version available."
adobe_update, Adobe Update Manager, component_list_url, component_list_urlQ_PROTO_ADOBE_UPDATE, bytes, "Component update download link."
adobe_update, Adobe Update Manager, update_manager, update_managerQ_PROTO_ADOBE_UPDATE, bytes, "Adobe Update Manager version and identifier."
adobe_update, Adobe Update Manager, product_name, product_nameQ_PROTO_ADOBE_UPDATE, bytes, "User's request for a product update."
adobe_update, Adobe Update Manager, action, actionQ_PROTO_ADOBE_UPDATE, bytes, "Indicates the action executed by the user."
aim, AOL Instant Messenger (formerly OSCAR), login, loginQ_PROTO_AIM, bytes, "User's login string."
aim, AOL Instant Messenger (formerly OSCAR), channel, channelQ_PROTO_AIM, bytes, "Chat room name."
aim, AOL Instant Messenger (formerly OSCAR), message, messageQ_PROTO_AIM, bytes, "Contains the chat message."
aim, AOL Instant Messenger (formerly OSCAR), message_raw, message_rawQ_PROTO_AIM, bytes, "Message raw value."
aim, AOL Instant Messenger (formerly OSCAR), sender, senderQ_PROTO_AIM, bytes, "Contains the identity of the sender of a chat session or a file transfer."
aim, AOL Instant Messenger (formerly OSCAR), receiver, receiverQ_PROTO_AIM, bytes, "Contains the identity of the receiver for a chat message or a file transfer."
aim, AOL Instant Messenger (formerly OSCAR), user_email, user_emailQ_PROTO_AIM, bytes, "Email Address of an AIN user."
aim, AOL Instant Messenger (formerly OSCAR), user_agent, user_agentQ_PROTO_AIM, bytes, "Name of the software used."
aim, AOL Instant Messenger (formerly OSCAR), client_status, client_statusQ_PROTO_AIM, bytes, "Status of connected user."
aim, AOL Instant Messenger (formerly OSCAR), service, serviceQ_PROTO_AIM, bytes, "Current service identification string."
aim, AOL Instant Messenger (formerly OSCAR), filename, filenameQ_PROTO_AIM, bytes, "Name of the transferred file."
aim, AOL Instant Messenger (formerly OSCAR), filename_encoding, filename_encodingQ_PROTO_AIM, bytes, "Encoding of the transferred file name."
aim, AOL Instant Messenger (formerly OSCAR), filesize, filesizeQ_PROTO_AIM, uint32, "Size (byte) of the transferred file."
aim, AOL Instant Messenger (formerly OSCAR), version, versionQ_PROTO_AIM, bytes, "AIM software version."
aim, AOL Instant Messenger (formerly OSCAR), file_sender, file_senderQ_PROTO_AIM, bytes, "Contains the identity of the sender of a file transfer."
aim, AOL Instant Messenger (formerly OSCAR), file_receiver, file_receiverQ_PROTO_AIM, bytes, "Contains the identity of the receiver for a file transfer."
aim, AOL Instant Messenger (formerly OSCAR), contact_login, contact_loginQ_PROTO_AIM, bytes, "Contact login."
aim, AOL Instant Messenger (formerly OSCAR), contact_status, contact_statusQ_PROTO_AIM, bytes, "Contact status."
aim, AOL Instant Messenger (formerly OSCAR), icon_buddy, icon_buddyQ_PROTO_AIM, bytes, "The contact whose icon was downloaded."
aim, AOL Instant Messenger (formerly OSCAR), internal_ip_address, internal_ip_addressQ_PROTO_AIM, string, "Internal IP address of the contact."
aim, AOL Instant Messenger (formerly OSCAR), external_ip_address, external_ip_addressQ_PROTO_AIM, string, "External IP address of the contact."
aim_express, AIM express, login, loginQ_PROTO_AIM_EXPRESS, bytes, "User's login string."
aim_express, AIM express, message, messageQ_PROTO_AIM_EXPRESS, bytes, "Contains the chat message."
aim_express, AIM express, sender, senderQ_PROTO_AIM_EXPRESS, bytes, "Contains the identity of the sender of a chat session or a file transfer."
aim_express, AIM express, receiver, receiverQ_PROTO_AIM_EXPRESS, bytes, "Contains the identity of the receiver for a chat message or a file transfer."
aim_express, AIM express, chat_id, chat_idQ_PROTO_AIM_EXPRESS, bytes, "Window chat id."
