_n/a,   optional bool Captured = 25 [default = false];,,Captured,Captured,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional bool CaptureRemoved = 40;,,CaptureRemoved,Capture Removed,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional bool FlowCompleted = 10;,,FlowCompleted,Flow Completed,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional bool LatestUpdate = 37 [default = true];,,LatestUpdate,Latest Update,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional bool Written = 39;,,Written,Written,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional FlowStateType FlowState = 24 [default = CLOSED_UNKNOWN];,,FlowState,Flow State,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional string Application = 29;,,Application,Application,csv,<process>,Process,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional string ApplicationPath = 30;,,ApplicationPath,ApplicationPath,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional string DebugMessage = 35;,,DebugMessage,Debug Message,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional string Delay = 11;,,Delay,Delay,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional string IPDest6 = 43;,,DestIP6,Destination IP6,csv,<dip>,Impacted IP,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional string IPSource6 = 42;  ,,SrcIP6     ,Source IP6 ,csv,<sip>    ,Origin IP,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional string PktPath = 6;,,PacketPath,Packet Path,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional string SessionID = 1;,,Session,Session,csv,<session>,Session,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional Type FlowType = 18;,,FlowType,Flow Type,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional uint32 ApplicationID = 36 [default = 0];,,ApplicationID,Application ID,csv,<vmid>,Vendor Message ID,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional uint32 ChildFlowNumber = 26;,,ChildFlowNumber,Child Flow Number,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional uint32 FlowSessionCount = 7;,,FlowSessionCount,Flow Session Count,n/a,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional uint32 IPDest = 5;,,DestIP,Destination IP,csv,<dip>,Impacted IP,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional uint32 IPSource = 4;,,SrcIP,Source IP,csv,<sip>,Origin IP,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional uint32 PacketTotal = 13;,,TotalPackets,Total Packets,csv,<packetsin>,Impacted Host Packets In,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_n/a,   optional uint32 PortDest = 9;,,DestPort,Destination Port,csv,<dport>,Impacted Port,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
