protocolName,longProtocolName,attributeName,attributeDescription
proto_family,proto_name,#attr_id_name,attr_type
base,base,#Q_GEN_HDR64,binary
base,base,#Q_GEN_BYTE_VAL,binary
base,base,#Q_GEN_FRAME,ptr
base,base,#Q_GEN_PARENT_USER_HANDLE,ptr
base,base,#Q_GEN_DATA,buffer
base,base,#Q_GEN_CLASSIFICATION_MATCH,
base,base,#Q_GEN_STATEMACHINE_ANOMALY,
Web,0zz0,#Q_MPA_END,ptr
Web,0zz0,#Q_MPA_REQUEST,parent
Tunneling,3gpp_li,#Q_3GPP_LI_HI3_DOMAIN_ID,binary
Tunneling,3gpp_li,#Q_3GPP_LI_CORRELATION_NUMBER,binary
Tunneling,3gpp_li,#Q_3GPP_LI_NATIONAL_PARAMS,binary
Network Service,8021q,#Q_8021Q_PRIORITY,uint8
Network Service,8021q,#Q_8021Q_CFI,uint8
Network Service,8021q,#Q_8021Q_VLAN_ID,uint16
Peer to Peer,adc,#Q_MPA_END,ptr
Peer to Peer,adc,#Q_MPA_FILE_CHUNK_CONTENT,buffer
Peer to Peer,adc,#Q_MPA_FILE_CHUNK,parent
Peer to Peer,adc,#Q_MPA_FILE_IS_COMPRESSED,uint8
Peer to Peer,adc,#Q_MPA_FILE,parent
Peer to Peer,adc,#Q_ADC_COMMAND,parent
Web,adobe_update,#Q_MPA_END,ptr
Web,adobe_update,#Q_ADOBE_UPDATE_COMPONENT_LIST_ENTRY,parent
Web,adobe_update,#Q_ADOBE_UPDATE_UPDATE_REQUEST,parent
Instant Messaging,aim,#Q_MPA_END,ptr
Instant Messaging,aim,#Q_MPA_INHERIT_KEY,binary
Instant Messaging,aim,#Q_MPA_INHERIT_PARENT,binary
Instant Messaging,aim,#Q_MPA_CHAT,parent
Instant Messaging,aim,#Q_MPA_FILE,parent
Instant Messaging,aim,#Q_MPA_CONTACT_ENTRY,parent
Instant Messaging,aim,#Q_AIM_ICON_DATA,buffer
Instant Messaging,aim,#Q_AIM_EXTERNAL_LISTENING_PORT,uint16
Instant Messaging,aim_express,#Q_MPA_CHAT,parent
Instant Messaging,aim_express,#Q_MPA_END,ptr
Instant Messaging,aim_express,#Q_MPA_CONTACT_ENTRY,parent
File Transfer,aim_transfer,#Q_MPA_END,ptr
File Transfer,aim_transfer,#Q_MPA_INHERIT_KEY,binary
File Transfer,aim_transfer,#Q_MPA_FILE,parent
File Transfer,aim_transfer,#Q_MPA_CONTENT,buffer
Web,archive,#Q_MPA_END,ptr
Web,archive,#Q_MPA_ACCOUNT,parent
Web,archive,#Q_MPA_QUERY,parent
Web,archive,#Q_MPA_FILE,parent
Peer to Peer,ares,#Q_MPA_PEER_INFO,
Network Service,arp,#Q_ARP_HARDWARE,uint16
Network Service,arp,#Q_ARP_PROTOCOL,uint16
Network Service,arp,#Q_ARP_HARDSIZE,uint8
Network Service,arp,#Q_ARP_PROTOSIZE,uint8
Network Service,arp,#Q_ARP_OPCODE,uint16
Network Service,arp,#Q_ARP_SRC_HARD,binary
Network Service,arp,#Q_ARP_SRC_PROTO,binary
Network Service,arp,#Q_ARP_DST_HARD,binary
Network Service,arp,#Q_ARP_DST_PROTO,binary
Web,badongo,#Q_MPA_END,ptr
Web,badongo,#Q_MPA_FILE,parent
Web,badongo,#Q_MPA_ACCOUNT,parent
Web,badongo,#Q_MPA_CONTENT,buffer
Instant Messaging,badoo,#Q_MPA_END,ptr
Instant Messaging,badoo,#Q_MPA_CHAT,parent
Instant Messaging,badoo,#Q_MPA_ACCOUNT,parent
Instant Messaging,badoo,#Q_MPA_CONTACT_ENTRY,parent
Web,baidu,#Q_MPA_END,ptr
Web,baidu,#Q_MPA_QUERY,parent
Standard,base,#Q_BASE_CNX_TYPE,uint8
Standard,base,#Q_BASE_PATH,path
Standard,base,#Q_BASE_DAYTIME,uint16
Standard,base,#Q_BASE_CLASSIFIED,uint8
Standard,base,#Q_BASE_USER_HANDLE,ptr
Standard,base,#Q_BASE_PEER_USER_HANDLE,ptr
Standard,base,#Q_BASE_WAY,uint8
Standard,base,#Q_BASE_PROTOCOL,parent
Standard,base,#Q_BASE_PACKET,buffer
Standard,base,#Q_BASE_PACKET_IP,buffer
Standard,base,#Q_BASE_UPACKET,ptr
Standard,base,#Q_BASE_FILTER_STATE_CHANGE,filter_state
Standard,base,#Q_BASE_FILTER_RULE_MATCHES,filter_state
Standard,base,#Q_BASE_SESSION_END,uint8
Standard,base,#Q_MPA_END,ptr
Standard,base,#Q_BASE_USER_HANDLE_PKT,ptr
Standard,base,#Q_BASE_SYS_PKT_HEADER,binary
Standard,base,#Q_BASE_SYS_PKT_FOOTER,binary
Standard,base,#Q_BASE_PROTOCOL_END,parent
Standard,base,#Q_BASE_PATH_END,path
Standard,base,#Q_BASE_SPLIT,ptr
Standard,base,#Q_BASE_SESSION_UNIDIR,uint8
Web,bebo,#Q_MPA_END,ptr
Web,bebo,#Q_MPA_ACCOUNT,parent
Routing,bgp,#Q_MPA_END,ptr
Routing,bgp,#Q_BGP_MESSAGE_ENTRY,parent
Routing,bgp,#Q_MPA_VERSION,uint8
Routing,bgp,#Q_BGP_AS,uint16
Routing,bgp,#Q_BGP_HOLD_TIME,uint16
Routing,bgp,#Q_BGP_ERROR_CODE,uint8
Routing,bgp,#Q_BGP_ERROR_SUBCODE,uint8
Routing,bgp,#Q_BGP_ERROR_NOTIFICATION_DATA,binary
Routing,bgp,#Q_BGP_PATH_ATTR_ENTRY,parent
Routing,bgp,#Q_BGP_PATH_ATTR_VALUE_ENTRY,parent
