QProto ,Syslog Field,MPE,SIEM
command_codeQ_PROTO_ADC,command,<command>,Command
query_textQ_PROTO_BING,command,<command>,Command
command_codeQ_PROTO_DIAMETER,command,<command>,Command
queryQ_PROTO_DNS,command,<command>,Command
actionQ_PROTO_FACEBOOK,command,<command>,Command
actionQ_PROTO_FACEBOOK_MAIL,command,<command>,Command
plugin_new_versionQ_PROTO_FIREFOX_UPDATE,command,<command>,Command
methodQ_PROTO_FTP,command,<command>,Command
query_rawQ_PROTO_GOOGLE,command,<command>,Command
methodQ_PROTO_H225,command,<command>,Command
methodQ_PROTO_H245,command,<command>,Command
methodQ_PROTO_HTTP,command,<command>,Command
serviceQ_PROTO_ICA,command,<command>,Command
serviceQ_PROTO_ICLOUD,command,<command>,Command
methodQ_PROTO_IMAP,command,<command>,Command
query_textQ_PROTO_LINKEDIN,command,<command>,Command
jobQ_PROTO_LPR,command,<command>,Command
actionQ_PROTO_MAPI,command,<command>,Command
methodQ_PROTO_MGCP,command,<command>,Command
methodQ_PROTO_MSN,command,<command>,Command
queryQ_PROTO_NBNS,command,<command>,Command
methodQ_PROTO_POP3,command,<command>,Command
methodQ_PROTO_PPLIVE,command,<command>,Command
methodQ_PROTO_RAPIDSHARE,command,<command>,Command
methodQ_PROTO_RTSP,command,<command>,Command
methodQ_PROTO_SIP,command,<command>,Command
command_stringQ_PROTO_SMB,command,<command>,Command
methodQ_PROTO_SMTP,command,<command>,Command
methodQ_PROTO_SNMP,command,<command>,Command
methodQ_PROTO_SNPP,command,<command>,Command
supported_next_protocolQ_PROTO_SSL,command,<command>,Command
queryQ_PROTO_TDS,command,<command>,Command
actionQ_PROTO_TWITTER,command,<command>,Command
methodQ_PROTO_YOUTUBE,command,<command>,Command
destination_hostQ_PROTO_DIAMETER,dname,<group>,Group
hostQ_PROTO_DNS,dname,<group>,Group
serverQ_PROTO_GNUTELLA,dname,<group>,Group
hostQ_PROTO_HTTP,dname,<group>,Group
serverQ_PROTO_IRC,dname,<group>,Group
serverQ_PROTO_KRB5,dname,<group>,Group
hostnameQ_PROTO_LDAP,dname,<group>,Group
serverQ_PROTO_LPR,dname,<recipient>,Recipient
groupQ_PROTO_MSN,dname,<group>,Group
