,,,,,,,,,,,,,,
,protocol id,proto_idname,proto_family,proto_name,proto_longname,attr_id,attr_id_name,attr_name,deprecated,attr_type,attr_desc,stream,pkt/session,content
,.,,,,,-1,Q_GEN_TOT_LEN,tot_len,,uint32,Remaining data length starting from the defined protocol layer (including header).,0,pkt,0
,.,,,,,-2,Q_GEN_HDR_LEN,hdr_len,,uint32,Packet length for the considered protocol.,0,pkt,0
,.,,,,,-3,Q_GEN_PAYLOAD_LEN,payload_len,,uint32,"Length of data contained by the selected protocol, excluding the header.",0,pkt,0
,.,,,,,-4,Q_GEN_HDR64,hdr64,,binary,"Contains, in a hexa format, the first 64 bytes of a packet (with header), starting from the defined protocol layer. This attribute is no more extracted.",0,pkt,0
,.,,,,,-5,Q_GEN_TEXT64,text64,,string,"Contains, in ASCII characters, all bytes of a packet, starting from the defined protocol layer. If the content is extracted then this attribute will contain the decompressed text.",0,pkt,0
,.,,,,,-6,Q_GEN_FRAG_OFF,frag_off,,uint32,Indicates the offset if the packet is fragmented.,0,pkt,0
,.,,,,,-7,Q_GEN_BYTE_VAL,byte_val,,binary,Contains data defined by given offset parameters starting from the header of the protocol level considered.,0,pkt,0
,.,,,,,-8,Q_GEN_NB_OVER_PROTO,nb_over_proto,,uint32,Number of protocols existing above this level in the protocol stack (path).,0,pkt,0
,.,,,,,-9,Q_GEN_LAYER_DESC,layer_desc,,string,Description of this protocol.,0,pkt,0
,.,,,,,-10,Q_GEN_LAYER_NAME,layer_name,,string,Name of this protocol.,0,pkt,0
,.,,,,,-11,Q_GEN_LAYER_FAMILY,layer_family,,string,Family of this protocol.,0,pkt,0
,.,,,,,-14,Q_GEN_FRAME,frame,,ptr,"Contains packet data, starting from the defined protocol layer.",0,pkt,0
,.,,,,,-12,Q_GEN_PARENT_USER_HANDLE,parent_user_handle,,ptr,User data associated to one parent session.,0,pkt,0
,.,,,,,-13,Q_GEN_GEN_PARENT_LAYER,gen_parent_layer,,uint32,"This is not an event, it is used only to indicate the parent of this protocol is needed.",0,session_mod,0
,.,,,,,-15,Q_GEN_DATA,data,,buffer,"Contains packet data, starting from the defined protocol layer, excluding the header.",0,session_mod,1
,.,,,,,-17,Q_GEN_GEN_INHERIT_SUCCESS,gen_inherit_success,,uint32,Id of parent protocol when inheritance is successful.,0,session_mod,0
,.,,,,,-18,Q_GEN_CLASSIFICATION_MATCH,classification_match,,match,This attribute compares the classification states of both half-sessions.,0,session_mod,0
,.,,,,,-19,Q_GEN_STATEMACHINE_ANOMALY,statemachine_anomaly,,statemachine_anomaly,We check if we are in a final node when we cleanup the statemachine.,0,session_mod,0
,584,Q_PROTO_0ZZ0,Web,0zz0,0zz0.com,617,Q_MPA_END,end,,ptr,"Indicates the end of a top-level parent attribute. This attribute's behavior depends on the method used to extract it: 1) If using the ixEngine v4 API function uevent_hook_add_parms"", it will be extracted like any other attribute. 2) If using the ixEngine v4 API function ""afc_metadata_add"", it will generate an attribute having the attribute ID of the associated top-level parent attribute and the ctb_metadata_attr.qm_end flag set to 1""",0,session_mod,0
,584,Q_PROTO_0ZZ0,Web,0zz0,0zz0.com,643,Q_MPA_REQUEST,request,,parent,Contains information which is in http request.,0,session_mod,0
,584,Q_PROTO_0ZZ0,Web,0zz0,0zz0.com,550,Q_MPA_LOGIN,login,,string,User's login string.,0,session_mod,0
,584,Q_PROTO_0ZZ0,Web,0zz0,0zz0.com,578,Q_MPA_PASSWORD,password,,string,User's password string.,0,session_mod,0
,584,Q_PROTO_0ZZ0,Web,0zz0,0zz0.com,512,Q_MPA_ACTION,action,,string,Indicates the action executed by the user.,0,session_mod,0
,584,Q_PROTO_0ZZ0,Web,0zz0,0zz0.com,541,Q_MPA_FILENAME,filename,,string,Name of the transferred file.,0,session_mod,0
,584,Q_PROTO_0ZZ0,Web,0zz0,0zz0.com,542,Q_MPA_FILESIZE,filesize,,uint32,Size (byte) of the transferred file.,0,session_mod,0
,584,Q_PROTO_0ZZ0,Web,0zz0,0zz0.com,4,Q_0ZZ0_UPLOAD_DESCRIPTION,upload_description,,string,Description of the uploaded file.,0,session_mod,0
,584,Q_PROTO_0ZZ0,Web,0zz0,0zz0.com,1,Q_0ZZ0_SIDC,sidc,,string,Session identifier used to find information about file which has been uploaded.,0,session_mod,0
,584,Q_PROTO_0ZZ0,Web,0zz0,0zz0.com,2,Q_0ZZ0_SID,sid,,string,Session identifier used to find user information.,0,session_mod,0
,584,Q_PROTO_0ZZ0,Web,0zz0,0zz0.com,5,Q_0ZZ0_EMAIL_ADDRESS,email_address,,string,User's email address.,0,session_mod,0
